"Comparison"	"GeneID"	"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"Ctrl_Res_Sens"	5727	"PTCH1"	2.00543512974253	4.73079400095446	3.15989372521916	0.00204698669065746	0.0419188652178136
"Ctrl_Res_Sens"	1974	"EIF4A2"	1.13323598299584	6.92237439101577	3.15760933075908	0.00206171288524697	0.042155177370838
"Ctrl_Res_Sens"	100507171	"BOLA3-AS1"	2.92199818017238	0.191811390685638	3.1552286125594	0.0020771648358641	0.0423402366928292
"Ctrl_Res_Sens"	7296	"TXNRD1"	-1.02550053080917	7.29534245255786	-3.15430551352223	0.00208318509447408	0.0423976240227655
"Ctrl_Res_Sens"	6804	"STX1A"	1.76279294016174	2.39089122393873	3.1512652039125	0.00210312828030498	0.0426068667996243
"Ctrl_Res_Sens"	7105	"TSPAN6"	-1.03480515963696	6.7639605199136	-3.14889618090003	0.00211879100449938	0.0428585415879547
"Ctrl_Res_Sens"	64170	"CARD9"	4.00454756278243	0.55340297511196	3.14804192009091	0.0021244654787276	0.0429077157528052
"Ctrl_Res_Sens"	4065	"LY75"	1.00800486025607	5.83951330373522	3.1472551310791	0.00212970426375016	0.0429479538188275
"Ctrl_Res_Sens"	126859	"AXDND1"	-2.95775996919282	2.56149949045076	-3.14614828287693	0.00213709447681336	0.043031389396901
"Ctrl_Res_Sens"	4781	"NFIB"	-1.74027598094525	5.09224004417417	-3.1413741401487	0.00216924450544802	0.0436123640768569
"Ctrl_Res_Sens"	79133	"NDUFAF5"	1.09941756649172	3.39664534611744	3.13925283737318	0.00218367353552104	0.0438358379384034
"Ctrl_Res_Sens"	51053	"GMNN"	-1.29340357065325	5.95917684918873	-3.1383964903483	0.00218952361046849	0.0438866785498297
"Ctrl_Res_Sens"	7544	"ZFY"	4.03195599959799	2.00208412769664	3.13709173996839	0.00219846492779641	0.0439710399778683
"Ctrl_Res_Sens"	2635	"GBP3"	-1.47636881526213	4.83202544769366	-3.13681291088305	0.00220038010925609	0.0439710399778683
"Ctrl_Res_Sens"	4286	"MITF"	3.14090604135022	1.4284611825754	3.13461667591655	0.00221551958119725	0.0441990212008504
"Ctrl_Res_Sens"	81033	"KCNH6"	3.37696660952255	-0.2852394926788	3.13411439416585	0.00221899556952273	0.0441990212008504
"Ctrl_Res_Sens"	388677	"NOTCH2NLA"	1.50259151004291	3.54185685478837	3.13370797480714	0.00222181186019847	0.0441990212008504
"Ctrl_Res_Sens"	10286	"BCAS2"	-1.00388003801746	4.90061135373215	-3.13151865275571	0.00223704002239415	0.0444351388232014
"Ctrl_Res_Sens"	29881	"NPC1L1"	-3.01976427702385	0.698311022745026	-3.1286484959322	0.00225715073430712	0.0447673869027719
"Ctrl_Res_Sens"	55604	"CARMIL1"	-1.42333981304885	5.38997067709422	-3.12675189687312	0.00227053190348329	0.0448981562797913
"Ctrl_Res_Sens"	29767	"TMOD2"	3.09443012739502	-0.197555884790296	3.12536652623067	0.00228035270394245	0.0450250536126189
"Ctrl_Res_Sens"	1476	"CSTB"	-1.09176120283617	8.2580429019265	-3.12332436688877	0.00229490139642751	0.0451774562103267
"Ctrl_Res_Sens"	10045	"SH2D3A"	1.13822359274919	3.7562343332293	3.12004794703368	0.00231842337708979	0.0455726936931959
"Ctrl_Res_Sens"	57060	"PCBP4"	1.10805957406914	4.44693686364906	3.11659327653808	0.00234346737334257	0.0459284887139982
"Ctrl_Res_Sens"	10406	"WFDC2"	3.31059968895358	1.20251783353842	3.11515515354332	0.00235396663122051	0.0460660126692546
"Ctrl_Res_Sens"	6415	"SELENOW"	-1.06222162747329	8.08130512184086	-3.11455801123604	0.00235833898548461	0.0460834068522539
"Ctrl_Res_Sens"	3373	"HYAL1"	2.07793482333667	1.81564685003012	3.11393914015073	0.00236287839542437	0.0461040092818127
"Ctrl_Res_Sens"	100507303	"SNHG19"	1.49102103819518	5.95333024077928	3.11283904547378	0.00237096760210358	0.0461937119414259
"Ctrl_Res_Sens"	8857	"FCGBP"	-3.89841717566334	1.87459574716518	-3.11186774357365	0.00237813113075682	0.0462651422482087
"Ctrl_Res_Sens"	8824	"CES2"	-1.39673257578405	6.44104485894122	-3.10947360368781	0.00239587422348351	0.0464767665889573
"Ctrl_Res_Sens"	9699	"RIMS2"	3.52326604967794	0.940331055850208	3.10875276269467	0.00240124042949832	0.0464767665889573
"Ctrl_Res_Sens"	91607	"SLFN11"	-4.84540078570979	-0.317987908963475	-3.10563159482809	0.00242460451229915	0.0467689423902196
"Ctrl_Res_Sens"	57708	"MIER1"	-1.04186804548003	6.08103337155384	-3.10345073016344	0.0024410547842536	0.0468010344070881
